time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1766864053999862800,-6.15413720703125,130.5697021484375,0.7200000286102295,-1,42.29147914335345,159.9797019958496,-1,3.5355339059327373,3,-71.80367150350642,0
1766864060213609000,0.05960888671875,130.5697021484375,0.7200000286102295,-1,42.29147914335345,159.9797019958496,-1,3.5355339059327373,3,-71.80367150350642,0
1766864061999839000,1.8458388671875,130.68670654296875,0.7799999713897705,82.3094417254756,42.291472312102364,160.09670639038086,193.0078125,3.5355339059327373,4,-71.80369907996786,0.4300000071525574
1766864062999833600,2.84583349609375,130.65362548828125,0.7799999713897705,-1,42.29147206064527,160.06362533569336,-1,3.5355339059327373,3,-71.80369581102562,0
1766864063999828700,3.845828857421875,130.8038330078125,0.7200000286102295,-1,42.29147243783091,160.2138328552246,-1,3.5355339059327373,3,-71.8036936317308,0
1766864064999822600,4.845822509765625,130.72747802734375,0.7200000286102295,81.9182016596281,42.29147256355946,160.13747787475586,200.7421875,3.5355339059327373,3,-71.80369329645467,0.28999999165534973
1766864065999817700,5.845817626953125,130.72149658203125,0.7200000286102295,61.12380684474016,42.291469881350444,160.13149642944336,207.7734375,3.5355339059327373,3,-71.8036949728353,0.5799999833106995
1766864066999876000,6.8458759765625,130.675048828125,0.7200000286102295,48.690297819283614,42.291464600751446,160.0850486755371,209.8828125,3.5355339059327373,3,-71.80369857705367,0.5799999833106995
1766864067999878000,7.8458779296875,130.9193115234375,0.7200000286102295,41.99879564036797,42.291457518043266,160.3293113708496,215.15625,3.5355339059327373,3,-71.8037036900146,0.8199999928474426
1766864068999875600,8.84587548828125,131.0885009765625,0.7200000286102295,34.35723463847106,42.29144921995913,160.4985008239746,223.59375,3.5355339059327373,3,-71.80371165282261,1.2799999713897705
1766864069999880700,9.845880615234375,131.1485595703125,0.7200000286102295,31.417661238575562,42.291441634336756,160.5585594177246,235.8984375,3.5355339059327373,3,-71.80372380658221,1.4199999570846558
1766864070999888400,10.845888427734375,131.014892578125,0.7200000286102295,32.73695325789855,42.291436982380496,160.4248924255371,249.609375,3.5355339059327373,3,-71.80373872636986,1.3600000143051147
1766864071999889000,11.845888916015625,130.61444091796875,0.7200000286102295,29.516833252939353,42.29143626991873,160.02444076538086,262.96875,3.5355339059327373,3,-71.80375641218555,1.4199999570846558
1766864072999894000,12.84589404296875,130.31158447265625,0.7200000286102295,30.18427250844383,42.29143723383759,159.72158432006836,270.703125,3.5355339059327373,3,-71.80377569056284,1.4800000190734863
1766864073999897900,13.84589794921875,130.31158468313515,0.7200000286102101,39.419255982001175,42.29143739733813,159.72158453054726,270.70311292548797,4.74865153019179,4.029364438188531,-71.8037936345021,1.4800000190734466
1766864074999895000,14.84589501953125,130.02874779514968,0.7200000286102072,36.69213734622083,42.29143867077403,159.4387476425618,271.0546745293357,4.748651530191794,4.029364438188526,-71.80381491520346,1.5900000333785518
1766864075999871700,15.845871826171875,129.95410179998726,0.7200000286102072,36.692137346221266,42.29143659620479,159.36410164739937,265.42967456859094,4.748651530191794,4.0293644381885265,-71.80383882910984,1.5900000333785518
1766864076999902500,16.84590234375,129.49920688662678,0.7200000286101953,29.614466374592407,42.291431049723386,158.9092067340389,258.7499842350586,4.748651530191811,4.029364438188505,-71.8038685210115,1.9700000286101356
1766864077999897600,17.845897705078126,128.9924319628626,0.7200000286101976,30.705526493315354,42.2914237958339,158.40243181027472,252.07029775071658,4.7486515301918075,4.02936443818851,-71.80388972660171,1.899999976158058
1766864078999899400,18.8458994140625,129.0302737588063,0.7200000286101976,30.705526493315716,42.2914135020375,158.4402736062184,243.63279861042088,4.7486515301918075,4.02936443818851,-71.80390873320371,1.899999976158058
1766864079999899400,19.8458994140625,129.25085481256247,0.7200000286101977,30.70552649331632,42.291400564900954,158.66085465997458,235.195299771098,4.7486515301918075,4.02936443818851,-71.80392586760658,1.8999999761580584
1766864080999893200,20.845893310546874,129.5086673218757,0.7200000286101965,30.228238958942676,42.29138384669535,158.9186671692878,226.40623859536205,4.748651530191808,4.029364438188508,-71.803942758903,1.929999947547824
1766864081999887000,21.84588720703125,129.57019080780447,0.7200000286101913,28.048318146702655,42.291365672435184,158.98019065521657,221.1328013365348,4.748651530191817,4.029364438188499,-71.80395975104068,2.079999923705944
1766864082999880000,22.8458798828125,129.8541263556108,0.7200000286101907,27.9141157900055,42.291348597385195,159.2641262030229,216.91405225810058,4.748651530191817,4.029364438188498,-71.8039733012921,2.089999914169199
1766864083999873500,23.84587353515625,130.00555458292365,0.7200000286101905,27.78119154983059,42.291331965224025,159.41555443033576,215.15624013415803,4.748651530191818,4.029364438188497,-71.8039870754911,2.0999999046324542
1766864084999865600,24.845865478515623,129.95593300182372,0.7200000286101902,27.781191549830694,42.29131554850261,159.36593284923583,214.1015528936921,4.748651530191818,4.029364438188497,-71.80400060376036,2.099999904632454
1766864085999859500,25.845859375,129.83190956525505,0.7200000286101899,27.649527253921704,42.29129572940681,159.24190941266716,212.6953032006985,4.748651530191819,4.029364438188496,-71.80401665987146,2.1099998950957093
1766864086999851300,26.845851318359376,129.8585211718455,0.7200000286101589,20.688120917129346,42.29126353100069,159.2685210192576,211.64061293007802,4.7486515301918635,4.029364438188443,-71.80404273789908,2.819999933242521
1766864087999844600,27.8458447265625,129.7701433710754,0.7200000286100335,12.412872760168447,42.29121431906163,159.1801432184875,210.9374802856252,4.7486515301920456,4.029364438188229,-71.80408142338817,4.699999809263858
